filename,tps,total_time,model
2601.07790v1_Benchmarking Small Language Models and Small Reaso.pdf,245.29,1.912,Qwen2.5-3B
2601.07794v1_Kinship Data Benchmark for Multi-hop Reasoning.pdf,208.91,1.312,Qwen2.5-3B
2601.07821v1_Failure-Aware RL Reliable Offline-to-Online Reinfo.pdf,221.62,1.457,Qwen2.5-3B
2601.07832v2_MHLA Restoring Expressivity of Linear Attention vi.pdf,227.7,1.524,Qwen2.5-3B
2601.07885v1_Small Symbols Big Risks Exploring Emoticon Semanti.pdf,196.74,1.459,Qwen2.5-3B
2601.07891v1_KVzap Fast Adaptive and Faithful KV Cache Pruning.pdf,205.66,1.264,Qwen2.5-3B
2601.07892v1_Sherry Hardware-Efficient 1.25-Bit Ternary Quantiz.pdf,296.11,10.378,Qwen2.5-3B
2601.07894v1_Revealing the Attention Floating Mechanism in Mask.pdf,221.54,1.517,Qwen2.5-3B
2601.07898v1_Large Language Models and Algorithm Execution Appl.pdf,175.98,0.915,Qwen2.5-3B
2601.07901v1_Decentralized Online Convex Optimization with Unkn.pdf,203.65,1.237,Qwen2.5-3B
