filename,title,authors,doi,arxiv_id,keywords,summary,tps,model,platform
2601.07364v1_On the universal definition of intelligence.pdf,On the universal definition of intelligence,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07372v1_Conditional Memory via Scalable Lookup A New Axis .pdf,Conditional Memory via Scalable Lookup:,REGEX_NER_PENDING,None,arXiv:2601.07372,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07376v1_OpenTinker Separating Concerns in Agentic Reinforc.pdf,OpenTinker: Separating Concerns in Agentic,REGEX_NER_PENDING,None,arXiv:2601.07376,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07377v1_Learning Dynamic Collaborative Network for Semi-su.pdf,Learning Dynamic Collaborative Network for Semi-supervised 3D V essel,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07389v1_On the Non-decoupling of Supervised Fine-tuning an.pdf,On the Non-decoupling of Supervised Fine-tuning and,REGEX_NER_PENDING,None,arXiv:2601.07389,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07392v1_OceanSAR-2 A Universal Feature Extractor for SAR O.pdf,OceanSAR-2: A Universal Feature Extractor for SAR Ocean Observa-,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07393v1_Software-Hardware Co-optimization for Modular E2E .pdf,SOFTWARE-HARDWARECO-OPTIMIZATION FORMODULARE2E,REGEX_NER_PENDING,None,arXiv:2601.07393,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07395v1_MCP-ITP An Automated Framework for Implicit Tool P.pdf,MCP-ITP: An Automated Framework for Implicit Tool Poisoning in MCP,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07397v1_Layerwise goal-oriented adaptivity for neural ODEs.pdf,Layerwise goal-oriented adaptivity for neural ODEs: an optimal,REGEX_NER_PENDING,None,arXiv:2601.07397,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07411v1_SCALPEL Selective Capability Ablation via Low-rank.pdf,SCALPEL: Selective Capability Ablation via Low-rank Parameter,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07422v1_Two Pathways to Truthfulness On the Intrinsic Enco.pdf,Two Pathways to Truthfulness: On the Intrinsic,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07430v1_KALE Enhancing Knowledge Manipulation in Large Lan.pdf,KALE: Enhancing Knowledge Manipulation in Large Language Models,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07449v1_RLPO Residual Listwise Preference Optimization for.pdf,RLPO: Residual Listwise Preference Optimization for Long-Context,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07463v1_Puzzle it Out Local-to-Global World Model for Offl.pdf,Puzzle it Out: Local-to-Global World Model for Offline,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07464v1_IFDNS An Iterative Feedback-Driven Neuro-Symbolic .pdf,IFDNS: An Iterative Feedback-Driven Neuro-Symbolic,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07468v1_Beyond Dialogue Time Temporal Semantic Memory for .pdf,Beyond Dialogue Time:,REGEX_NER_PENDING,None,arXiv:2601.07468,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07469v1_Knowledge Distillation for LLM-Based Human Activit.pdf,KNOWLEDGE DISTILLATION FOR LLM-B ASED HUMAN ACTIVITY,REGEX_NER_PENDING,None,arXiv:2601.07469,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07470v1_Learning How to Remember A Meta-Cognitive Manageme.pdf,Learning How to Remember:A Meta-Cognitive Management Method for,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07474v1_Task Prototype-Based Knowledge Retrieval for Multi.pdf,Task Prototype-Based Knowledge Retrieval for Multi-Task Learning,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07475v1_ARCQuant Boosting NVFP4 Quantization with Augmente.pdf,ARCQuant: Boosting NVFP4 Quantization with Augmented Residual,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07477v1_JudgeFlow Agentic Workflow Optimization via Block .pdf,JUDGEFLOW: AGENTICWORKFLOWOPTIMIZATION,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07496v1_Graph Inference Towards ICD Coding.pdf,Graph Inference Towards ICD Coding,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07514v1_Data-Driven Stochastic VRP Integration of Forecast.pdf,Data-Driven Stochastic VRP: Integration of Forecast,REGEX_NER_PENDING,None,arXiv:2601.07514,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07516v1_Controlling Multimodal Conversational Agents with .pdf,Controlling Multimodal Conversational Agents,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07518v1_Mon3tr Monocular 3D Telepresence with Pre-built Ga.pdf,Mon3tr: Monocular 3D Telepresence with Pre-built,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07525v1_Thinking Before Constraining A Unified Decoding Fr.pdf,Thinking Before Constraining: A Unified Decoding Framework for Large,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07528v1_From RAG to Agentic RAG for Faithful Islamic Quest.pdf,From RAG to Agentic RAG for Faithful Islamic Question Answering,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07553v1_VirtualEnv A Platform for Embodied AI Research.pdf,VirtualEnv: A Platform for Embodied AI Research,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07556v1_Backpropagation-Free Test-Time Adaptation for Ligh.pdf,Backpropagation-Free Test-Time Adaptation for,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07565v1_A Unified Framework for Emotion Recognition and Se.pdf,A Unified Framework for Emotion Recognition and,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07568v1_d3LLM Ultra-Fast Diffusion LLM using Pseudo-Trajec.pdf,d3LLM: Ultra-Fast dLLM using Pseudo-Trajectory Distillation,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07573v1_A Model of Artificial Jagged Intelligence.pdf,A Model of Artificial Jagged Intelligence,REGEX_NER_PENDING,None,arXiv:2601.07573,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07577v1_Beyond Entangled Planning Task-Decoupled Planning .pdf,Beyond Entangled Planning: Task-Decoupled Planning for,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07580v1_Large Language Models for Physics Instrument Desig.pdf,Large Language Models for Physics Instrument Design,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07582v2_ES-Mem Event Segmentation-Based Memory for Long-Te.pdf,ES-Mem: Event Segmentation-Based Memory for Long-Term,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07597v1_Pheromone-Focused Ant Colony Optimization algorith.pdf,Pheromone-Focused Ant Colony Optimization algorithm for path,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07606v1_Proof of Time A Benchmark for Evaluating Scientifi.pdf,Proof of Time: A Benchmark for Evaluating Scientific Idea Judgments,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07611v1_DIAGPaper Diagnosing Valid and Specific Weaknesses.pdf,DIAGPaper: Diagnosing Valid and Specific Weaknesses in Scientific Papers,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07618v1_Neural Architecture for Fast and Reliable Coagulat.pdf,Neural Architecture for Fast and Reliable Coagulation Assessment in Clinical,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07632v2_GeoMotionGPT Geometry-Aligned Motion Understanding.pdf,GeoMotionGPT: Geometry-Aligned Motion Understanding with Large,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07635v2_Learning About Learning A Physics Path from Spin G.pdf,Learning About Learning: A Physics Path from Spin Glasses to Artificial,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07638v1_SALT-KG A Benchmark for Semantics-Aware Learning o.pdf,SALT-KG: A Benchmark for Semantics-Aware,REGEX_NER_PENDING,None,arXiv:2601.07638,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07641v1_Beyond Static Tools Test-Time Tool Evolution for S.pdf,Beyond Static Tools: Test-Time Tool Evolution for Scientific Reasoning,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07651v1_Active Evaluation of General Agents Problem Defini.pdf,Active Evaluation of General Agents: Problem,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07654v1_Towards Automating Blockchain Consensus Verificati.pdf,Towards Automating Blockchain Consensus,REGEX_NER_PENDING,None,arXiv:2601.07654,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07663v2_Reasoning Models Will Blatantly Lie About Their Re.pdf,Reasoning Models Will Blatantly Lie About Their Reasoning,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07666v1_Variational Contrastive Learning for Skeleton-base.pdf,Variational Contrastive Learning for,REGEX_NER_PENDING,None,arXiv:2601.07666,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07667v1_Adaptive Layer Selection for Layer-Wise Token Prun.pdf,Adaptive Layer Selection for Layer-Wise Token Pruning in LLM Inference,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07685v1_Predictive Analytics for Dementia Machine Learning.pdf,Predictive Analytics for Dementia: Machine,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07701v1_Deep Whole-body Parkour.pdf,Deep Whole-body Parkour,REGEX_NER_PENDING,None,arXiv:2601.07701,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07718v1_Hiking in the Wild A Scalable Perceptive Parkour F.pdf,Hiking in the Wild: A Scalable Perceptive Parkour,REGEX_NER_PENDING,None,arXiv:2601.07718,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07737v1_Evaluating the encoding competence of visual langu.pdf,Undergraduate Project Report,REGEX_NER_PENDING,None,arXiv:2601.07737,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07748v1_Improving Domain Generalization in Contrastive Lea.pdf,Improving Domain Generalization in Contrastive,REGEX_NER_PENDING,None,arXiv:2601.07748,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07778v1_DT-ICU Towards Explainable Digital Twins for ICU P.pdf,DT-ICU: Towards Explainable Digital Twins for,REGEX_NER_PENDING,None,arXiv:2601.07778,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07779v1_OS-Symphony A Holistic Framework for Robust and Ge.pdf,OS-SYMPHONY: A Holistic Framework for Robust and Generalist,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07782v1_Beyond Single-Shot Multi-step Tool Retrieval via Q.pdf,Beyond Single-Shot: Multi-step Tool Retrieval via Query Planning,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07790v1_Benchmarking Small Language Models and Small Reaso.pdf,Benchmarking Small Language Models and Small Reasoning,REGEX_NER_PENDING,None,arXiv:2601.07790,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07794v1_Kinship Data Benchmark for Multi-hop Reasoning.pdf,Kinship Data Benchmark for Multi-hop Reasoning,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07821v1_Failure-Aware RL Reliable Offline-to-Online Reinfo.pdf,Failure-Aware RL: Reliable Offline-to-Online Reinforcement Learning,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07832v2_MHLA Restoring Expressivity of Linear Attention vi.pdf,MHLA: Restoring Expressivity of Linear Attention,REGEX_NER_PENDING,None,arXiv:2601.07832,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07885v1_Small Symbols Big Risks Exploring Emoticon Semanti.pdf,"Small Symbols, Big Risks: Exploring Emoticon Semantic Confusion in",REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07891v1_KVzap Fast Adaptive and Faithful KV Cache Pruning.pdf,"KVzap: Fast, Adaptive, and Faithful KV Cache",REGEX_NER_PENDING,None,arXiv:2601.07891,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07892v1_Sherry Hardware-Efficient 1.25-Bit Ternary Quantiz.pdf,Sherry: Hardware-Efficient 1.25-Bit Ternary Quantization via,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07894v1_Revealing the Attention Floating Mechanism in Mask.pdf,Revealing the Attention Floating Mechanism in Masked Diffusion Models,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07898v1_Large Language Models and Algorithm Execution Appl.pdf,Large Language Models and Algorithm Execution: Application to,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07901v1_Decentralized Online Convex Optimization with Unkn.pdf,Decentralized Online Convex Optimization with,REGEX_NER_PENDING,None,arXiv:2601.07901,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07903v2_Enhancing Large Language Models for Time-Series Fo.pdf,Enhancing Large Language Models for Time-Series Forecasting,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07935v1_Towards Specialized Generalists A Multi-Task MoE-L.pdf,Towards Specialized Generalists: A Multi-Task,REGEX_NER_PENDING,None,arXiv:2601.07935,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07939v1_SECite Analyzing and Summarizing Citations in Soft.pdf,SECite: Analyzing and Summarizing Citations in,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07941v2_Moonworks Lunara Aesthetic Dataset.pdf,Moonworks Lunara Aesthetic Dataset,REGEX_NER_PENDING,None,arXiv:2601.07941,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07946v1_Coupled Diffusion-Encoder Models for Reconstructio.pdf,Coupled Diffusion–Encoder Models for Reconstruction of Flow Fields,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07948v1_Reinforcement Learning Methods for Neighborhood Se.pdf,Learning Methods for Neighborhood Selection in Local Search,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07951v1_Hybrid SARIMA LSTM Model for Local Weather Forecas.pdf,"Hybrid SARIMA–LSTM Model for Local Weather Forecasting: A Residual-Learning Approach for Data-Driven Meteorological Prediction Shreyas Rajeev Stevens Institute of Technology Hoboken, USA srajeev@stevens.edu",REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07953v1_Quantum automated theorem proving.pdf,Quantum automated theorem proving,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07957v1_LWMSCNN-SE A Lightweight Multi-Scale Network for E.pdf,LWMSCNN-SE: A Lightweight Multi-Scale,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07958v1_LJ-Spoof A Generatively Varied Corpus for Audio An.pdf,LJ-SPOOF: A GENERATIVELY V ARIED CORPUS FOR AUDIO ANTI-SPOOFING AND,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07964v1_Executable Ontologies in Game Development From Alg.pdf,Executable Ontologies in Game Development:,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07965v1_When Models Know When They Do Not Know Calibration.pdf,WHENMODELSKNOWWHENTHEYDONOTKNOW,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07969v1_Tuberculosis Screening from Cough Audio Baseline M.pdf,TUBERCULOSISSCREENING FROMCOUGHAUDIO:,REGEX_NER_PENDING,None,arXiv:2601.07969,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07973v1_Cultural Compass A Framework for Organizing Societ.pdf,Cultural Compass: A Framework for Organizing Societal Norms to Detect,REGEX_NER_PENDING,None,arXiv:2601.07973,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07988v1_From Word Sequences to Behavioral Sequences Adapti.pdf,From Word Sequences to Behavioral Sequences: Adapting Modeling and,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.07994v2_DYCP Dynamic Context Pruning for Long-Form Dialogu.pdf,DYCP: Dynamic Context Pruning for Long-Form Dialogue with LLMs,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.08000v1_Reasoning over Precedents Alongside Statutes Case-.pdf,Reasoning over Precedents Alongside Statutes:,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.08003v1_LLM Review Enhancing Creative Writing via Blind Pe.pdf,LLM Review: Enhancing Creative Writing via Blind Peer Review Feedback,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.08005v1_Internal Deployment Gaps in AI Regulation.pdf,Internal Deployment Gaps in AI Regulation,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.08011v1_TP-Blend Textual-Prompt Attention Pairing for Prec.pdf,Published in Transactions on Machine Learning Research (10/2025),REGEX_NER_PENDING,None,arXiv:2601.08011,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.08017v1_Representations of Text and Images Align From Laye.pdf,Representations of Text and Images Align From Layer One,REGEX_NER_PENDING,None,arXiv:2601.08017,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.08026v2_FigEx2 Visual-Conditioned Panel Detection and Capt.pdf,FigEx2: Visual-Conditioned Panel Detection and Captioning for Scientific,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.08043v1_The Role of Noisy Data in Improving CNN Robustness.pdf,The Role of Noisy Data in Improving CNN Robustness for,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.08049v1_Integrating Attendance Tracking and Emotion Detect.pdf,Integrating Attendance Tracking and Emotion Detection for,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.08052v1_Forecast Aware Deep Reinforcement Learning for Eff.pdf,Forecast Aware Deep Reinforcement Learning for,REGEX_NER_PENDING,None,arXiv:2601.08052,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
2601.08058v1_Reasoning Beyond Chain-of-Thought A Latent Computa.pdf,Reasoning Beyond Chain-of-Thought: A Latent Computational Mode in,REGEX_NER_PENDING,None,None,None,None,0,REGEX_BASELINE,Apple M1 (Metal)
