filename,tps,model
2601.07316v1_BEAT-Net Injecting Biomimetic Spatio-Temporal Prio.pdf,350.59,LFM-2.5-Cold
2601.07320v1_Segmental Advantage Estimation Enhancing PPO for L.pdf,364.03,LFM-2.5-Cold
2601.07342v1_Agentic Diagnostic Reasoning over Telecom and Data.pdf,280.09,LFM-2.5-Cold
2601.07344v1_PulseMind A Multi-Modal Medical Model for Real-Wor.pdf,283.34,LFM-2.5-Cold
2601.07348v4_Controlled Self-Evolution for Algorithmic Code Opt.pdf,339.26,LFM-2.5-Cold
2601.07351v2_Beyond Hard Masks Progressive Token Evolution for .pdf,279.43,LFM-2.5-Cold
2601.07356v1_Efficient Convolutional Forward Model for Passive .pdf,257.43,LFM-2.5-Cold
2601.07359v1_Seeing Right but Saying Wrong Inter- and Intra-Lay.pdf,302.29,LFM-2.5-Cold
2601.07364v1_On the universal definition of intelligence.pdf,199.15,LFM-2.5-Cold
2601.07372v1_Conditional Memory via Scalable Lookup A New Axis .pdf,358.7,LFM-2.5-Cold
2601.07376v1_OpenTinker Separating Concerns in Agentic Reinforc.pdf,281.32,LFM-2.5-Cold
2601.07377v1_Learning Dynamic Collaborative Network for Semi-su.pdf,268.54,LFM-2.5-Cold
2601.07389v1_On the Non-decoupling of Supervised Fine-tuning an.pdf,371.2,LFM-2.5-Cold
2601.07392v1_OceanSAR-2 A Universal Feature Extractor for SAR O.pdf,360.25,LFM-2.5-Cold
2601.07393v1_Software-Hardware Co-optimization for Modular E2E .pdf,341.95,LFM-2.5-Cold
2601.07395v1_MCP-ITP An Automated Framework for Implicit Tool P.pdf,318.14,LFM-2.5-Cold
2601.07397v1_Layerwise goal-oriented adaptivity for neural ODEs.pdf,262.88,LFM-2.5-Cold
2601.07411v1_SCALPEL Selective Capability Ablation via Low-rank.pdf,298.11,LFM-2.5-Cold
2601.07422v1_Two Pathways to Truthfulness On the Intrinsic Enco.pdf,346.34,LFM-2.5-Cold
2601.07430v1_KALE Enhancing Knowledge Manipulation in Large Lan.pdf,261.37,LFM-2.5-Cold
2601.07449v1_RLPO Residual Listwise Preference Optimization for.pdf,289.72,LFM-2.5-Cold
2601.07463v1_Puzzle it Out Local-to-Global World Model for Offl.pdf,297.09,LFM-2.5-Cold
2601.07464v1_IFDNS An Iterative Feedback-Driven Neuro-Symbolic .pdf,316.95,LFM-2.5-Cold
2601.07468v1_Beyond Dialogue Time Temporal Semantic Memory for .pdf,413.16,LFM-2.5-Cold
2601.07469v1_Knowledge Distillation for LLM-Based Human Activit.pdf,253.12,LFM-2.5-Cold
2601.07470v1_Learning How to Remember A Meta-Cognitive Manageme.pdf,374.5,LFM-2.5-Cold
2601.07474v1_Task Prototype-Based Knowledge Retrieval for Multi.pdf,253.61,LFM-2.5-Cold
2601.07475v1_ARCQuant Boosting NVFP4 Quantization with Augmente.pdf,269.45,LFM-2.5-Cold
2601.07477v1_JudgeFlow Agentic Workflow Optimization via Block .pdf,329.72,LFM-2.5-Cold
2601.07496v1_Graph Inference Towards ICD Coding.pdf,240.19,LFM-2.5-Cold
2601.07514v1_Data-Driven Stochastic VRP Integration of Forecast.pdf,233.58,LFM-2.5-Cold
2601.07516v1_Controlling Multimodal Conversational Agents with .pdf,303.42,LFM-2.5-Cold
2601.07518v1_Mon3tr Monocular 3D Telepresence with Pre-built Ga.pdf,340.04,LFM-2.5-Cold
2601.07525v1_Thinking Before Constraining A Unified Decoding Fr.pdf,335.21,LFM-2.5-Cold
2601.07528v1_From RAG to Agentic RAG for Faithful Islamic Quest.pdf,349.02,LFM-2.5-Cold
2601.07553v1_VirtualEnv A Platform for Embodied AI Research.pdf,313.62,LFM-2.5-Cold
2601.07556v1_Backpropagation-Free Test-Time Adaptation for Ligh.pdf,250.3,LFM-2.5-Cold
2601.07565v1_A Unified Framework for Emotion Recognition and Se.pdf,349.1,LFM-2.5-Cold
2601.07568v1_d3LLM Ultra-Fast Diffusion LLM using Pseudo-Trajec.pdf,332.13,LFM-2.5-Cold
2601.07573v1_A Model of Artificial Jagged Intelligence.pdf,246.43,LFM-2.5-Cold
2601.07577v1_Beyond Entangled Planning Task-Decoupled Planning .pdf,293.72,LFM-2.5-Cold
2601.07580v1_Large Language Models for Physics Instrument Desig.pdf,314.96,LFM-2.5-Cold
2601.07582v2_ES-Mem Event Segmentation-Based Memory for Long-Te.pdf,228.03,LFM-2.5-Cold
2601.07597v1_Pheromone-Focused Ant Colony Optimization algorith.pdf,330.6,LFM-2.5-Cold
2601.07606v1_Proof of Time A Benchmark for Evaluating Scientifi.pdf,321.8,LFM-2.5-Cold
2601.07611v1_DIAGPaper Diagnosing Valid and Specific Weaknesses.pdf,297.27,LFM-2.5-Cold
2601.07618v1_Neural Architecture for Fast and Reliable Coagulat.pdf,268.94,LFM-2.5-Cold
2601.07632v2_GeoMotionGPT Geometry-Aligned Motion Understanding.pdf,313.5,LFM-2.5-Cold
2601.07635v2_Learning About Learning A Physics Path from Spin G.pdf,256.11,LFM-2.5-Cold
2601.07638v1_SALT-KG A Benchmark for Semantics-Aware Learning o.pdf,356.92,LFM-2.5-Cold
2601.07641v1_Beyond Static Tools Test-Time Tool Evolution for S.pdf,408.83,LFM-2.5-Cold
2601.07651v1_Active Evaluation of General Agents Problem Defini.pdf,299.24,LFM-2.5-Cold
2601.07654v1_Towards Automating Blockchain Consensus Verificati.pdf,283.19,LFM-2.5-Cold
2601.07663v2_Reasoning Models Will Blatantly Lie About Their Re.pdf,283.44,LFM-2.5-Cold
2601.07666v1_Variational Contrastive Learning for Skeleton-base.pdf,297.14,LFM-2.5-Cold
2601.07667v1_Adaptive Layer Selection for Layer-Wise Token Prun.pdf,316.06,LFM-2.5-Cold
2601.07685v1_Predictive Analytics for Dementia Machine Learning.pdf,364.4,LFM-2.5-Cold
2601.07701v1_Deep Whole-body Parkour.pdf,256.03,LFM-2.5-Cold
2601.07718v1_Hiking in the Wild A Scalable Perceptive Parkour F.pdf,311.69,LFM-2.5-Cold
2601.07737v1_Evaluating the encoding competence of visual langu.pdf,256.58,LFM-2.5-Cold
2601.07748v1_Improving Domain Generalization in Contrastive Lea.pdf,284.4,LFM-2.5-Cold
2601.07778v1_DT-ICU Towards Explainable Digital Twins for ICU P.pdf,419.55,LFM-2.5-Cold
2601.07779v1_OS-Symphony A Holistic Framework for Robust and Ge.pdf,366.28,LFM-2.5-Cold
2601.07782v1_Beyond Single-Shot Multi-step Tool Retrieval via Q.pdf,305.96,LFM-2.5-Cold
2601.07790v1_Benchmarking Small Language Models and Small Reaso.pdf,375.78,LFM-2.5-Cold
2601.07794v1_Kinship Data Benchmark for Multi-hop Reasoning.pdf,306.18,LFM-2.5-Cold
2601.07821v1_Failure-Aware RL Reliable Offline-to-Online Reinfo.pdf,321.65,LFM-2.5-Cold
2601.07832v2_MHLA Restoring Expressivity of Linear Attention vi.pdf,285.91,LFM-2.5-Cold
2601.07885v1_Small Symbols Big Risks Exploring Emoticon Semanti.pdf,302.48,LFM-2.5-Cold
2601.07891v1_KVzap Fast Adaptive and Faithful KV Cache Pruning.pdf,273.76,LFM-2.5-Cold
2601.07892v1_Sherry Hardware-Efficient 1.25-Bit Ternary Quantiz.pdf,356.64,LFM-2.5-Cold
2601.07894v1_Revealing the Attention Floating Mechanism in Mask.pdf,311.75,LFM-2.5-Cold
2601.07898v1_Large Language Models and Algorithm Execution Appl.pdf,246.43,LFM-2.5-Cold
2601.07901v1_Decentralized Online Convex Optimization with Unkn.pdf,237.56,LFM-2.5-Cold
