filename,tps,total_time,model
2601.07568v1_d3LLM Ultra-Fast Diffusion LLM using Pseudo-Trajec.pdf,115.48,2.52,Phi-4
2601.07573v1_A Model of Artificial Jagged Intelligence.pdf,124.85,2.715,Phi-4
2601.07577v1_Beyond Entangled Planning Task-Decoupled Planning .pdf,125.97,3.31,Phi-4
2601.07580v1_Large Language Models for Physics Instrument Desig.pdf,117.4,2.308,Phi-4
2601.07582v2_ES-Mem Event Segmentation-Based Memory for Long-Te.pdf,107.31,2.348,Phi-4
2601.07597v1_Pheromone-Focused Ant Colony Optimization algorith.pdf,116.23,2.34,Phi-4
2601.07606v1_Proof of Time A Benchmark for Evaluating Scientifi.pdf,118.21,2.614,Phi-4
2601.07611v1_DIAGPaper Diagnosing Valid and Specific Weaknesses.pdf,111.05,2.17,Phi-4
2601.07618v1_Neural Architecture for Fast and Reliable Coagulat.pdf,110.66,2.359,Phi-4
2601.07632v2_GeoMotionGPT Geometry-Aligned Motion Understanding.pdf,122.35,2.73,Phi-4
2601.07635v2_Learning About Learning A Physics Path from Spin G.pdf,117.59,2.602,Phi-4
2601.07638v1_SALT-KG A Benchmark for Semantics-Aware Learning o.pdf,122.22,2.749,Phi-4
2601.07641v1_Beyond Static Tools Test-Time Tool Evolution for S.pdf,117.2,2.543,Phi-4
2601.07651v1_Active Evaluation of General Agents Problem Defini.pdf,112.71,2.254,Phi-4
2601.07654v1_Towards Automating Blockchain Consensus Verificati.pdf,111.63,1.944,Phi-4
2601.07663v2_Reasoning Models Will Blatantly Lie About Their Re.pdf,106.96,1.982,Phi-4
2601.07666v1_Variational Contrastive Learning for Skeleton-base.pdf,118.29,2.283,Phi-4
2601.07667v1_Adaptive Layer Selection for Layer-Wise Token Prun.pdf,114.85,2.273,Phi-4
2601.07685v1_Predictive Analytics for Dementia Machine Learning.pdf,122.01,2.697,Phi-4
2601.07701v1_Deep Whole-body Parkour.pdf,110.47,1.973,Phi-4
2601.07718v1_Hiking in the Wild A Scalable Perceptive Parkour F.pdf,120.31,2.344,Phi-4
2601.07737v1_Evaluating the encoding competence of visual langu.pdf,108.09,1.323,Phi-4
2601.07748v1_Improving Domain Generalization in Contrastive Lea.pdf,118.31,2.409,Phi-4
2601.07778v1_DT-ICU Towards Explainable Digital Twins for ICU P.pdf,127.79,2.637,Phi-4
2601.07779v1_OS-Symphony A Holistic Framework for Robust and Ge.pdf,117.35,2.983,Phi-4
2601.07782v1_Beyond Single-Shot Multi-step Tool Retrieval via Q.pdf,116.41,2.328,Phi-4
2601.07790v1_Benchmarking Small Language Models and Small Reaso.pdf,122.21,2.872,Phi-4
2601.07794v1_Kinship Data Benchmark for Multi-hop Reasoning.pdf,111.4,2.172,Phi-4
2601.07821v1_Failure-Aware RL Reliable Offline-to-Online Reinfo.pdf,119.54,2.568,Phi-4
2601.07832v2_MHLA Restoring Expressivity of Linear Attention vi.pdf,120.14,2.58,Phi-4
2601.07885v1_Small Symbols Big Risks Exploring Emoticon Semanti.pdf,114.41,2.587,Phi-4
2601.07891v1_KVzap Fast Adaptive and Faithful KV Cache Pruning.pdf,109.99,1.937,Phi-4
2601.07892v1_Sherry Hardware-Efficient 1.25-Bit Ternary Quantiz.pdf,121.07,2.627,Phi-4
2601.07894v1_Revealing the Attention Floating Mechanism in Mask.pdf,123.27,2.701,Phi-4
2601.07898v1_Large Language Models and Algorithm Execution Appl.pdf,115.81,2.107,Phi-4
2601.07901v1_Decentralized Online Convex Optimization with Unkn.pdf,119.91,2.36,Phi-4
